,cords
0,"(39.79818964218903, -86.05833537233113, 0.0)"
1,"(39.79818964218903, -86.05833537233113, 0.0)"
2,"(39.76684667152606, -86.20913007375307, 0.0)"
3,"(39.80822522222222, -86.1706308888889, 0.0)"
4,"(39.805519918367345, -86.18801536734695, 0.0)"
5,"(39.805519918367345, -86.18801536734695, 0.0)"
6,"(39.818129727272726, -86.0986733939394, 0.0)"
7,"(39.82478179691592, -86.27042629347378, 0.0)"
8,"(39.82478179691592, -86.27042629347378, 0.0)"
9,"(39.778666, -86.202447, 0.0)"
10,"(39.778666, -86.202447, 0.0)"
11,"(39.778666, -86.202447, 0.0)"
12,"(39.77023789189189, -86.10105725, 0.0)"
13,"(39.77023789189189, -86.10105725, 0.0)"
14,"(39.79818964218903, -86.05833537233113, 0.0)"
15,"(39.750569, -86.162643, 0.0)"
16,"(39.762828, -86.158409, 0.0)"
17,"(39.768517, -86.154252, 0.0)"
18,"(39.74122918762824, -86.32199782534752, 0.0)"
19,"(39.74122918762824, -86.32199782534752, 0.0)"
20,"(39.74122918762824, -86.32199782534752, 0.0)"
21,"(39.76982167346939, -86.15746318367347, 0.0)"
22,"(39.79818964218903, -86.05833537233113, 0.0)"
23,"(39.79818964218903, -86.05833537233113, 0.0)"
24,"(39.76869369421303, -86.03472571696742, 0.0)"
25,"(39.76869369421303, -86.03472571696742, 0.0)"
26,"(39.816747368421055, -86.03005273684211, 0.0)"
27,"(39.816747368421055, -86.03005273684211, 0.0)"
28,"(39.816747368421055, -86.03005273684211, 0.0)"
29,"(39.79808223427859, -86.08441389187142, 0.0)"
30,"(39.79808223427859, -86.08441389187142, 0.0)"
31,"(39.79679627272728, -86.007595, 0.0)"
32,"(39.76982167346939, -86.15746318367347, 0.0)"
33,"(39.9273006, -86.2302922, 0.0)"
34,"(39.9273006, -86.2302922, 0.0)"
35,"(39.9273006, -86.2302922, 0.0)"
36,"(39.82046726530612, -86.08009793877551, 0.0)"
37,"(39.82046726530612, -86.08009793877551, 0.0)"
38,"(39.72797395255175, -86.06074017796618, 0.0)"
39,"(39.72797395255175, -86.06074017796618, 0.0)"
40,"(39.72797395255175, -86.06074017796618, 0.0)"
41,"(39.815776, -86.06479118367348, 0.0)"
42,"(39.815776, -86.06479118367348, 0.0)"
43,"(39.77679719191919, -86.2074594040404, 0.0)"
44,"(39.76400075, -86.15872586076406, 0.0)"
45,"(39.764816, -86.158281, 0.0)"
46,"(39.76400075, -86.15872586076406, 0.0)"
47,"(39.76400075, -86.15872586076406, 0.0)"
48,"(39.76400075, -86.15872586076406, 0.0)"
49,"(39.87090427236769, -86.14278172842438, 0.0)"
50,"(39.74825404365125, -86.139899, 0.0)"
51,"(39.7888693, -86.0829535, 0.0)"
52,"(39.9273006, -86.2302922, 0.0)"
53,"(39.7767095, -86.1327638, 0.0)"
54,"(39.7680595, -86.1527215, 0.0)"
55,"(39.7680595, -86.1527215, 0.0)"
56,"(39.76400075, -86.15872586076406, 0.0)"
57,"(39.7185805594871, -86.101790630075, 0.0)"
58,"(39.7185805594871, -86.101790630075, 0.0)"
59,"(39.7185805594871, -86.101790630075, 0.0)"
60,"(39.796902, -85.998051, 0.0)"
61,"(39.796902, -85.998051, 0.0)"
62,"(39.796902, -85.998051, 0.0)"
63,"(39.77679719191919, -86.2074594040404, 0.0)"
64,"(39.77679719191919, -86.2074594040404, 0.0)"
65,"(39.79679627272728, -86.007595, 0.0)"
66,"(39.774876, -86.093671, 0.0)"
67,"(39.80860006122449, -86.16288524489796, 0.0)"
68,"(39.80860006122449, -86.16288524489796, 0.0)"
69,"(39.80860006122449, -86.16288524489796, 0.0)"
70,"(39.80860006122449, -86.16288524489796, 0.0)"
71,"(39.8673962, -86.2451998, 0.0)"
72,"(39.77679719191919, -86.2074594040404, 0.0)"
73,"(39.78445071845927, -86.26845322303583, 0.0)"
74,"(39.78445071845927, -86.26845322303583, 0.0)"
75,"(39.78445071845927, -86.26845322303583, 0.0)"
76,"(39.77234584848485, -86.10087436363636, 0.0)"
77,"(39.77234584848485, -86.10087436363636, 0.0)"
78,"(39.77234584848485, -86.10087436363636, 0.0)"
79,"(39.8673962, -86.2451998, 0.0)"
80,"(39.8673962, -86.2451998, 0.0)"
81,"(39.8673962, -86.2451998, 0.0)"
82,"(39.787138133333336, -86.12736066666668, 0.0)"
83,"(39.79114352941176, -86.17929214705882, 0.0)"
84,"(39.79114352941176, -86.17929214705882, 0.0)"
85,"(39.79114352941176, -86.17929214705882, 0.0)"
86,"(39.79114352941176, -86.17929214705882, 0.0)"
87,"(39.79114352941176, -86.17929214705882, 0.0)"
88,"(39.79114352941176, -86.17929214705882, 0.0)"
89,"(39.781502, -86.100383, 0.0)"
90,"(39.781502, -86.100383, 0.0)"
91,"(39.8673962, -86.2451998, 0.0)"
92,"(39.8673962, -86.2451998, 0.0)"
93,"(39.8673962, -86.2451998, 0.0)"
94,"(39.8673962, -86.2451998, 0.0)"
95,"(39.725951, -86.234723, 0.0)"
96,"(39.725951, -86.234723, 0.0)"
97,"(39.725951, -86.234723, 0.0)"
98,"(39.725951, -86.234723, 0.0)"
99,"(39.725785707070706, -86.21763144444444, 0.0)"
100,"(39.725785707070706, -86.21763144444444, 0.0)"
101,"(39.800871650000005, -85.99664968233009, 0.0)"
102,"(39.800871650000005, -85.99664968233009, 0.0)"
103,"(39.821595, -86.094476, 0.0)"
104,"(39.821595, -86.094476, 0.0)"
105,"(39.725951, -86.234723, 0.0)"
106,"(39.725951, -86.234723, 0.0)"
107,"(39.725951, -86.234723, 0.0)"
108,"(39.725951, -86.234723, 0.0)"
109,"(39.781260653061224, -86.11631365306123, 0.0)"
110,"(39.781260653061224, -86.11631365306123, 0.0)"
111,"(39.781260653061224, -86.11631365306123, 0.0)"
112,"(39.7656761, -86.15934391363386, 0.0)"
113,"(39.7656761, -86.15934391363386, 0.0)"
114,"(39.7765743, -85.981485, 0.0)"
115,"(39.7765743, -85.981485, 0.0)"
116,"(39.7765743, -85.981485, 0.0)"
117,"(39.7765743, -85.981485, 0.0)"
118,"(39.77727, -86.216239, 0.0)"
119,"(39.77727, -86.216239, 0.0)"
120,"(39.817449, -86.180673, 0.0)"
121,"(39.817449, -86.180673, 0.0)"
122,"(39.77679719191919, -86.2074594040404, 0.0)"
123,"(39.77679719191919, -86.2074594040404, 0.0)"
124,"(39.7299151, -86.3248449, 0.0)"
125,"(39.7299151, -86.3248449, 0.0)"
126,"(39.7299151, -86.3248449, 0.0)"
127,"(39.7299151, -86.3248449, 0.0)"
128,"(39.8172647545206, -86.25569209825113, 0.0)"
129,"(39.8172647545206, -86.25569209825113, 0.0)"
130,"(39.8172647545206, -86.25569209825113, 0.0)"
131,"(39.8172647545206, -86.25569209825113, 0.0)"
132,"(39.8172647545206, -86.25569209825113, 0.0)"
133,"(39.77678, -86.203921, 0.0)"
134,"(39.80347050550464, -86.05957937514168, 0.0)"
135,"(39.782380851344854, -86.20940039686893, 0.0)"
136,"(39.8168196767386, -86.12630633064593, 0.0)"
137,"(39.76260905, -86.16008930367761, 0.0)"
138,"(39.78466902040816, -86.10212512244898, 0.0)"
139,"(39.83293055263141, -86.02681521049918, 0.0)"
140,"(39.77023789189189, -86.10105725, 0.0)"
141,"(39.7885784, -86.0832142, 0.0)"
142,"(39.7885784, -86.0832142, 0.0)"
143,"(39.7630776, -86.15876947766199, 0.0)"
144,"(39.76857, -86.1600279, 0.0)"
145,"(39.72513974025974, -86.1322004935065, 0.0)"
146,"(39.72513974025974, -86.1322004935065, 0.0)"
147,"(39.72513974025974, -86.1322004935065, 0.0)"
148,"(39.8172647545206, -86.25569209825113, 0.0)"
149,"(39.8172647545206, -86.25569209825113, 0.0)"
150,"(39.8172647545206, -86.25569209825113, 0.0)"
151,"(39.8172647545206, -86.25569209825113, 0.0)"
152,"(39.752729, -86.250293, 0.0)"
153,"(39.752729, -86.250293, 0.0)"
154,"(39.821595, -86.094476, 0.0)"
155,"(39.821595, -86.094476, 0.0)"
156,"(39.821595, -86.094476, 0.0)"
157,"(39.821595, -86.094476, 0.0)"
158,"(39.7680595, -86.1527215, 0.0)"
159,"(39.7885784, -86.0832142, 0.0)"
160,"(39.78688933093265, -86.21735545125678, 0.0)"
161,"(39.80332416326531, -86.12373159183674, 0.0)"
162,"(39.7726132, -86.2051872, 0.0)"
163,"(39.7726132, -86.2051872, 0.0)"
164,"(39.7726132, -86.2051872, 0.0)"
165,"(39.7726132, -86.2051872, 0.0)"
166,"(39.7726132, -86.2051872, 0.0)"
167,"(39.7726132, -86.2051872, 0.0)"
168,"(39.6929873, -86.1865612, 0.0)"
169,"(39.7680595, -86.1527215, 0.0)"
170,"(39.765766, -86.160099, 0.0)"
171,"(39.923834, -86.06507968173611, 0.0)"
172,"(39.923834, -86.06507968173611, 0.0)"
173,"(39.923834, -86.06507968173611, 0.0)"
